Bureau of Justice Statistics,,,,,,,,,,,
Filename: ppus07st03.csv,,,,,,,,,,,
"Table 3. Adults on parole, 2007",,,,,,,,,,,
"Report title: Probation and Parole in the United States, 2007 - Statistical Tables  NCJ 224707",,,,,,,,,,,
Data source: Annual Parole Survey ,,,,,,,,,,,
"Author(s): Lauren E. Glaze, Thomas P. Bonczar, and Matthew S. Cooper ",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 08/10/2009,,,,,,,,,,,

"Table 3. Adults on parole, 2007",,,,,,,,,,,
,,,,2007,,,,,,,
,,,,Entries,,Exits,,,,,
Region and jurisdiction,,,"Parole population, 1/1/2007",Reported,Imputed/a,Reported,Imputed/a,"Parole population, 12/31/2007","Percent change, 2007",,"Number on parole per 100,000 adult residents, 12/31/2007"
,,U.S. total/b,"799,875","538,916","554,500","514,962","529,200","826,097",3.3,%,360
,Federal,,"88,993","43,077","43,077","39,397","39,397","92,673",4.1,%,40
,State/b,,"710,882","495,839","511,400","475,565","489,800","733,424",3.2,,320
Northeast,,,"152,744","55,405","70,000","54,210","67,500","155,288",1.7,%,367
,Connecticut,,"2,567","2,319","2,319","2,709","2,709","2,177",-15.2,,81
,Maine  ,,31,2,2,1,1,32,3.2,,3
,Massachusetts/c,,"3,435","4,952","4,952","5,178","5,178","3,209",-6.6,,64
,New Hampshire,,"1,621",709,709,677,677,"1,653",2,,162
,New Jersey,,"14,405","9,505","9,505","8,867","8,867","15,043",4.4,,226
,New York   ,,"53,001","25,467","25,467","24,799","24,799","53,669",1.3,,360
,Pennsylvania/d,,"76,386","11,432","26,000","11,060","24,300","78,107",2.3,,807
,Rhode Island ,,332,515,515,385,385,462,39.2,,56
,"Vermont/c,e",,966,504,504,534,534,936,-3.1,,190
Midwest,,,"131,638","104,056","104,056","97,619","97,619","138,075",4.9,%,274
,Illinois,,"34,917","32,951","32,951","32,782","32,782","35,086",0.5,,362
,Indiana,,"8,205","9,217","9,217","7,060","7,060","10,362",26.3,,217
