Bureau of Justice Statistics,,,,,,,,,,,,
Filename: ppus07st02.csv,,,,,,,,,,,,
"Table 2. Adults on probation, 2007",,,,,,,,,,,,
"Report title: Probation and Parole in the United States, 2007 - Statistical Tables  NCJ 224707",,,,,,,,,,,,
Data source: Annual Probation Survey  ,,,,,,,,,,,,
Author(s): Lauren E. Glaze and Thomas P. Bonczar,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,
Date of version: 3/23/2009,,,,,,,,,,,,

"Table 2. Adults on probation, 2007",,,,,,,,,,,,
,,,,2007,,,,,,,,
,,,,Entries,,Exits,,,,,,
Region and jurisdiction,,,"Probation population, 1/1/2007",Reported,Imputed/a,Reported,Imputed/a ,"Probation population, 12/31/2007","Percent change, 2007",,"Number on probation per 100,000 adult residents, 12/31/2007",
,,U.S. total/b,"4,215,361","2,183,333","2,363,900","2,122,681","2,287,400","4,293,163",1.8,%,"1,873",
,Federal,,"24,465","11,815","11,815","12,830","12,830","23,450",-4.1,%,10,
,State/b,,"4,190,896","2,171,518","2,352,100","2,109,851","2,274,600","4,269,713",1.9,,"1,863",
Northeast,,,"700,556","219,222","285,900","222,276","284,500","701,951",0.2,%,"1,657"
,Connecticut/c,,"54,314","28,681","28,681","25,502","25,502","57,493",5.9,,"2,136"
,Maine,,"7,919","3,625","3,625","3,691","3,691","7,853",-0.8,,754
,Massachusetts/d,,"172,383","94,000","94,000","90,964","90,964","175,419",1.8,,"3,484"
,New Hampshire/c,,"4,590","3,080","3,080","3,020","3,020","4,650",1.3,,454
,New Jersey,,"133,158","40,223","40,223","46,991","46,991","126,390",-5.1,,"1,901"
,New York,,"122,359","36,952","36,952","39,348","39,348","119,963",-2,,804
,Pennsylvania/e,,"172,184","2,534","69,300","2,180","64,500","176,987",2.8,,"1,829"
,Rhode Island/c,,"26,017","5,747","5,747","5,627","5,627","26,137",0.5,,"3,167"
,"Vermont/c,d",,"7,632","4,380","4,380","4,953","4,953","7,059",-7.5,,"1,436"
Midwest,,,"998,775","564,966","636,600","551,617","622,200","1,012,378",1.4,%,"2,008"
,Illinois/c,,"141,000","59,734","59,734","57,944","57,944","142,790",1.3,,"1,471"
,Indiana/c,,"128,655","96,049","96,049","98,142","98,142","126,562",-1.6,,"2,646"
,Iowa/c,,"22,622","15,924","15,924","15,770","15,770","22,776",0.7,,996
,Kansas/d,,"15,518","20,084","20,084","19,471","19,471","16,131",4,,771
,"Michigan/c,d,e",,"181,024","81,022","132,300","80,140","129,900","182,706",0.9,,"2,392"
,Minnesota,,"126,616","79,731","79,731","78,550","78,550","127,797",0.9,,"3,226"
,Missouri,,"55,098","25,933","25,933","24,791","24,791","56,240",2.1,,"1,256"
,Nebraska,,"18,731","14,896","14,896","14,717","14,717","18,910",1,,"1,417"
,North Dakota,,"4,320","2,995","2,995","2,847","2,847","4,468",3.4,,896
,"Ohio/c,d,e",,"244,512","139,794","160,100","128,862","149,700","254,898",4.2,,"2,917"
