Bureau of Justice Statistics,,,,,,,,,,,
Filename: ppus07at07.csv,,,,,,,,,,,
"Appendix table 7. Adults on probation, by most serious offense, 2007",,,,,,,,,,,
Data source: 2007 Annual Probation Survey,,,,,,,,,,,
Author: Lauren E. Glaze and Thomas P. Bonczar,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,,,,,,
Date of version: 02/23/09,,,,,,,,,,,

"Appendix table 7. Adults on probation, by most serious offense, 2007",,,,,,,,,,,
,,,,Most serious offense,,,,,,,
Region and jurisdiction,,,"Probation population, 12/31/2007",Domestic violence,Other violent,Property ,Drug ,Driving while intoxicated or under influence,Other traffic ,Other,Unknown or not reported
,,U.S. total/a,"4,293,163","66,843","315,971","545,559","593,544","331,710","82,195","301,612","2,055,729"
,Federal ,,"23,450",1,575,"11,116","3,371","1,755",412,"6,177",43
,State/a,,"4,269,713","66,842","315,396","534,443","590,173","329,955","81,783","295,435","2,055,686"
Northeast,,,"701,951","10,959","51,174","88,288","107,601","33,986","9,920","44,949","355,074"
,Connecticut/b,,"57,493","4,024","8,049","12,073","10,224","4,025","4,599","14,373",126
,Maine,,"7,853","1,789",967,"2,008","1,317",665,425,657,25
,Massachusetts ,,"175,419",**,**,**,**,**,**,**,"175,419"
,New Hampshire ,,"4,650",**,**,**,**,**,**,**,"4,650"
,New Jersey/b,,"126,390","1,955","13,945","42,837","63,438","3,230",985,0,0
,New York ,,"119,963",**,"21,170","25,613","23,366","24,266","2,502","20,914","2,132"
,Pennsylvania/c,,"176,987",**,836,"1,131",947,209,**,"1,237","172,627"
,Rhode Island ,,"26,137","2,630","4,770","2,750","7,703",257,937,"7,090",0
,Vermont/b,,"7,059",561,"1,437","1,876",606,"1,334",472,678,95
Midwest,,,"1,012,378","24,065","23,083","56,943","55,466","86,141","27,213","38,710","700,757"
,Illinois,,"142,790",**,**,**,**,**,**,**,"142,790"
,Indiana ,,"126,562",**,**,**,**,**,**,**,"126,562"
,Iowa,,"22,776",**,**,**,**,**,**,**,"22,776"
,Kansas ,,"16,131",**,**,**,**,**,**,**,"16,131"
,Michigan/b,,"182,706","6,312","1,410","4,805","6,638","12,891","3,230","2,583","144,837"
,Minnesota ,,"127,797","5,342","11,176","17,624","13,249","50,844","12,808","16,754",0
,Missouri,,"56,240","5,120","1,476","16,621","20,970","3,669",926,"6,823",635
,Nebraska ,,"18,910",884,"1,156","2,475","1,530","7,120","2,519","3,226",0
,North Dakota,,"4,468",**,775,"1,417","1,880",136,**,260,0
,Ohio/b,,"254,898","6,407","7,090","14,001","11,199","11,481","7,730","9,064","187,926"
,South Dakota ,,"5,870",**,**,**,**,**,**,**,"5,870"
,Wisconsin ,,"53,230",**,**,**,**,**,**,**,"53,230"
South/a,,,"1,750,300","22,787","203,902","342,183","366,790","170,928","41,045","195,119","407,546"
,Alabama,,"51,745",654,345,"1,112",191,"1,534",**,**,"47,909"
,Arkansas/b,,"31,676",824,"4,150","12,544","11,245",35,91,"2,787",0
,Delaware ,,"16,696",256,"3,413","2,829","1,971","3,466",**,"4,761",0
,District of Columbia ,,"6,485",79,"1,902","1,249","1,696",220,108,596,635
,Florida/b,,"274,079","5,023","38,708","72,579","58,361","20,255","20,667","22,233","36,253"
,Georgia ,,"435,361",361,"29,392","50,076","53,287","1,499",**,"16,035","284,711"
,Kentucky ,,"42,510","8,561","3,809","9,631","14,200","4,829",955,525,0
,Louisiana ,,"39,006",148,"2,680","11,693","18,405","2,057",77,"3,118",828
,Maryland ,,"98,470",**,"14,492","15,522","26,981","20,499","3,948","17,028",0
,Mississippi ,,"21,623",196,"2,774","8,803","8,721","1,055",47,27,0
,North Carolina ,,"111,446","2,697","11,563","20,046","25,089","17,882","12,121","22,048",0
